nombreMaquina,temperaturaMinima,temperaturaMaxima,nombreLocal,TIPO DE EQUIPO,ZONA,NUMERO_SERIE,ESTADO,ID,OBSERVACION,MODELO,Creado,DESCRIPCION,ESTADO_CORREO,ORDEN_COMPRA,Modificado,Observaciones
"1","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","1792484","OPERATIVO","405",,"mimet vv-70","02/02/2023 6:13",,,,"02/02/2023 6:13",
"2","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","1744947","OPERATIVO","406",,"mimet vv-70","02/02/2023 6:13",,,,"02/02/2023 6:13",
"3","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","1745070","OPERATIVO","407",,"mimet vv-70","02/02/2023 6:13",,,,"02/02/2023 6:13",
"4","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","2104168533","OPERATIVO","408",,"exkal ivn 2-4.3","02/02/2023 6:13",,,,"02/02/2023 6:13",
"5","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","2104168530","OPERATIVO","409",,"exkal ivn 2-4.3","02/02/2023 6:13",,,,"02/02/2023 6:13",
"6","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","2104168525","OPERATIVO","410",,"exkal ivn 2-4.3","02/02/2023 6:13",,,,"02/02/2023 6:13",
"7","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","2104168540","OPERATIVO","411",,"exkal ivn 2-4.3","02/02/2023 6:13",,,,"02/02/2023 6:13",
"8","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","2104168529","OPERATIVO","412",,"exkal ivn 2-4.3","02/02/2023 6:13",,,,"02/02/2023 6:13",
"9","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","2010154999","OPERATIVO","413",,"exkal ivn 2-4.3","02/02/2023 6:13",,,,"02/02/2023 6:13",
"10","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","2009154425","OPERATIVO","414",,"exkal ivn 2-4.3","02/02/2023 6:13",,,,"02/02/2023 6:13",
"11","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","2009154427","OPERATIVO","415",,"exkal ivn 2-4.3","02/02/2023 6:13",,,,"02/02/2023 6:13",
"12","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","2104168534","OPERATIVO","416",,"exkal ivn 2-4.3","02/02/2023 6:13",,,,"02/02/2023 6:13",
"13","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","2009154418","OPERATIVO","417",,"exkal ivn 2-4.3","02/02/2023 6:13",,,,"02/02/2023 6:13",
"14","0","5","CHJ5028800 - DARKSTORE KENNEDY","Equipo Refrigerado","Refrigerados","2009154417","OPERATIVO","418",,"exkal ivn 2-4.3","02/02/2023 6:13",,,,"02/02/2023 6:13",
